"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 20 13:35:39 GMT 2022","Wed Apr 20 13:35:39 GMT 2022","0","product.tests","test_cloudbeat","","","","test_cloudbeat_pods_running","
    This test verifies that all pods are in status ""Running""
    :param data: (Pods list, Nodes list)
    :return:
    "
"passed","Wed Apr 20 13:35:39 GMT 2022","Wed Apr 20 13:35:39 GMT 2022","56","integration.tests","test_output_to_elasticsearch","","","","test_elastic_index_exists[process]","
    This test verifies that findings of all types are sending to elasticsearch
    :param elastic_client: Elastic API client
    :param match_type: Findings type for matching
    :return:
    "
"passed","Wed Apr 20 13:35:38 GMT 2022","Wed Apr 20 13:35:39 GMT 2022","785","integration.tests","test_output_to_elasticsearch","","","","test_elastic_index_exists[file-system]","
    This test verifies that findings of all types are sending to elasticsearch
    :param elastic_client: Elastic API client
    :param match_type: Findings type for matching
    :return:
    "
"passed","Wed Apr 20 13:35:39 GMT 2022","Wed Apr 20 13:35:39 GMT 2022","19","integration.tests","test_output_to_elasticsearch","","","","test_elastic_index_exists[kube-api]","
    This test verifies that findings of all types are sending to elasticsearch
    :param elastic_client: Elastic API client
    :param match_type: Findings type for matching
    :return:
    "
"passed","Wed Apr 20 13:35:39 GMT 2022","Wed Apr 20 13:35:39 GMT 2022","0","product.tests","test_cloudbeat","","","","test_cloudbeat_pod_exist","
    This test verifies that pods count is equal to nodes count
    :param data: (Pods list, Nodes list)
    :return:
    "
